Factor,Year,Emission
Transport,2003,19.39315673
Transport,2004,20.10933293
Transport,2005,20.24098303
Transport,2006,20.48620613
Transport,2007,20.77395309
Transport,2008,20.90541879
Transport,2009,21.05404487
Transport,2010,21.42342765
Transport,2011,22.26371703
Transport,2012,21.82553922
Transport,2013,21.69820978
Transport,2014,22.46310029
Transport,2015,22.75585446
Transport,2016,22.22013552
Transport,2017,22.72679859
Transport,2018,23.45092686
Direct combustion,1990,15.20237863
Direct combustion,1991,15.20047998
Direct combustion,1992,15.21344451
Direct combustion,1993,15.59611822
Direct combustion,1994,15.41777644
Direct combustion,1995,15.89647776
Direct combustion,1996,16.47419076
Direct combustion,1997,16.16099748
Direct combustion,1998,16.55906141
Direct combustion,1999,15.97437366
Direct combustion,2000,16.309019
Direct combustion,2001,16.5258984
Direct combustion,2002,16.43187498
Direct combustion,2003,17.65732688
Direct combustion,2004,18.46127739
Direct combustion,2005,18.43297447
Direct combustion,2006,17.70954691
Direct combustion,2007,17.1471579
Direct combustion,2008,17.49291307
Direct combustion,2009,17.96648279
Direct combustion,2010,17.80106163
Direct combustion,2011,18.40546331
Direct combustion,2012,18.81668405
Direct combustion,2013,18.65154118
Direct combustion,2014,18.76144224
Direct combustion,2015,18.25091649
Direct combustion,2016,18.07602618
Direct combustion,2017,17.6267724
Direct combustion,2018,17.73379861
Electricity generation,1990,44.19842
Electricity generation,1991,46.30578
Electricity generation,1992,47.5241
Electricity generation,1993,45.33357
Electricity generation,1994,45.46883
Electricity generation,1995,47.82414
Electricity generation,1996,49.88438
Electricity generation,1997,52.56058
Electricity generation,1998,59.19032
Electricity generation,1999,61.78771
Electricity generation,2000,62.65138
Electricity generation,2001,62.22967
Electricity generation,2002,60.38296
Electricity generation,2003,61.49591
Electricity generation,2004,64.70376
Electricity generation,2005,63.52306
Electricity generation,2006,64.34614
Electricity generation,2007,63.27053
Electricity generation,2008,63.71462
Electricity generation,2009,65.61346
Electricity generation,2010,65.28446
Electricity generation,2011,64.38628
Electricity generation,2012,66.69002
Electricity generation,2013,58.95679
Electricity generation,2014,56.96172
Electricity generation,2015,61.07478
Electricity generation,2016,59.23063
Electricity generation,2017,56.0874
Electricity generation,2018,46.44366
LULUCF,1990,6.565711363
LULUCF,1991,6.468568941
LULUCF,1992,0.302623438
LULUCF,1993,1.927922339
LULUCF,1994,-0.452725644
LULUCF,1995,-3.644521241
LULUCF,1996,-6.647986378
LULUCF,1997,-6.422351293
LULUCF,1998,-8.804823875
LULUCF,1999,-8.842715247
LULUCF,2000,-8.665007548
LULUCF,2001,-5.402398501
LULUCF,2002,-10.24844157
LULUCF,2003,-3.892958329
LULUCF,2004,-2.812018029
LULUCF,2005,-4.721326146
LULUCF,2006,-0.104330271
LULUCF,2007,6.456820701
LULUCF,2008,3.379206539
LULUCF,2009,7.802889268
LULUCF,2010,6.887418753
LULUCF,2011,7.677334217
LULUCF,2012,-4.100733461
LULUCF,2013,-6.694277383
LULUCF,2014,-5.957396986
LULUCF,2015,-7.464443854
LULUCF,2016,-13.87308599
LULUCF,2017,-13.41261772
LULUCF,2018,-11.43550658
Total net emissions (Mt CO2-e),1990,109.5011829
Total net emissions (Mt CO2-e),1991,110.3782527
Total net emissions (Mt CO2-e),1992,105.4265609
Total net emissions (Mt CO2-e),1993,104.8538159
Total net emissions (Mt CO2-e),1994,102.1157884
Total net emissions (Mt CO2-e),1995,102.3533529
Total net emissions (Mt CO2-e),1996,101.8595223
Total net emissions (Mt CO2-e),1997,104.8339131
Total net emissions (Mt CO2-e),1998,108.4329865
Total net emissions (Mt CO2-e),1999,110.5895141
Total net emissions (Mt CO2-e),2000,113.4785919
Total net emissions (Mt CO2-e),2001,117.1178029
Total net emissions (Mt CO2-e),2002,110.9793091
Total net emissions (Mt CO2-e),2003,119.5589427
Total net emissions (Mt CO2-e),2004,125.866007
Total net emissions (Mt CO2-e),2005,123.8194718
Total net emissions (Mt CO2-e),2006,127.4798347
Total net emissions (Mt CO2-e),2007,132.077568
Total net emissions (Mt CO2-e),2008,129.5909488
Total net emissions (Mt CO2-e),2009,136.9041723
Total net emissions (Mt CO2-e),2010,135.4805688
Total net emissions (Mt CO2-e),2011,137.0622714
Total net emissions (Mt CO2-e),2012,127.9948989
Total net emissions (Mt CO2-e),2013,116.5662866
Total net emissions (Mt CO2-e),2014,116.1914461
Total net emissions (Mt CO2-e),2015,118.6418957
Total net emissions (Mt CO2-e),2016,109.5037422
Total net emissions (Mt CO2-e),2017,108.2763656
Total net emissions (Mt CO2-e),2018,102.188732
